Zona,Región,Categoría,Nombre,Ubicación / Detalle / Acción
Liurnia de los Lagos,Liurnia,NPC,Thops,Pide 10 runas. Vende hechizos. Dale llave extra de la academia más tarde.
Liurnia de los Lagos,Liurnia,Lugar,Orilla sur del humedal de Liurnia,Mercader vende linterna.
Liurnia de los Lagos,Liurnia,Mapa,"Mapa: Liurnia, este",Norte de la orilla sur.
Liurnia de los Lagos,Liurnia,Lugar,Cueva de aguas mansas,Sur del humedal.
Liurnia de los Lagos,Liurnia,Talismán,Insignia de espada alada,Drop del jefe Caballero Imputrescible.
Liurnia de los Lagos,Liurnia,Lugar,Ruinas de Laskyar,Teletransportadores y campana de espectros.
Liurnia de los Lagos,Liurnia,Lugar,Isla panorámica,SoG.
Liurnia de los Lagos,Liurnia,NPC,Rya,Pide que recuperes su collar.
Liurnia de los Lagos,Liurnia,NPC,Parches,"Si vive, está aquí."
Liurnia de los Lagos,Liurnia,NPC,Camaronero (Boggart),Cabaña del hervidor. Vende el collar de Rya y gambas.
Liurnia de los Lagos,Liurnia,Lugar,Iglesia de la Rosa,En el lago. Varré se mueve aquí.
Liurnia de los Lagos,Liurnia,Misión,Misión de Varré,Invade 3 veces (o NPC en Altus) para obtener Favor del Señor de la Sangre.
Liurnia de los Lagos,Liurnia,Jefe,Dragón de piedra refulgente Smarag,Oeste de la Academia.
Liurnia de los Lagos,Liurnia,Objeto Clave,Llave de piedra refulgente de la Academia,Detrás de Smarag.
Liurnia de los Lagos,Liurnia,Mapa,"Mapa: Liurnia, norte",Asentamiento frente a la Academia.
Liurnia de los Lagos,Liurnia,Lugar,Asentamiento frente a la Academia,Ruinas hundidas.
Liurnia de los Lagos,Liurnia,Lugar,Iglesia de los Juramentos,Miriel (Tortuga Papa).
Liurnia de los Lagos,Liurnia,Hechizos,Miriel,Dale todos los pergaminos/devocionarios aquí.
Liurnia de los Lagos,Liurnia,Lugar,Mina de cristal de Raya Lucaria,Noreste del lago. Esfera de minero.
Liurnia de los Lagos,Liurnia,Lugar,Catacumbas de los Cuchillos Negros,Noreste. Jefe Asesina Cuchillos Negros.
Liurnia de los Lagos,Liurnia,Objeto Clave,Huella de los Cuchillos Negros,Drop de la Asesina (para Rogier).
Liurnia de los Lagos,Liurnia,Lugar,Gran Elevador de Dectus,Extremo norte.
Liurnia de los Lagos,Liurnia,Lugar,Iglesia de la Inhibición,Cerca de la Torre de la Llama Frenética.
Liurnia de los Lagos,Liurnia,Invasor,Vyke,Invade en la iglesia. Drop Lanza de guerra de Vyke.
Liurnia de los Lagos,Liurnia,Mapa,"Mapa: Liurnia, oeste",Orilla norte del lago.
Liurnia de los Lagos,Liurnia,Lugar,Mansión de los Caria,Noroeste.
Liurnia de los Lagos,Liurnia,NPC,Iji,Herrero gigante camino a la mansión.
Liurnia de los Lagos,Liurnia,Equipo,Espada de la Noche y la Llama,Mansión Caria (ruta tejados).
Liurnia de los Lagos,Liurnia,Jefe,Guardia Real Loretta,Jefe de la Mansión.
Liurnia de los Lagos,Liurnia,Lugar,Tres Hermanas,Tras la mansión.
Liurnia de los Lagos,Liurnia,NPC,Ranni,Torre de Ranni. Inicia su misión.
Liurnia de los Lagos,Liurnia,NPC,Seluvis,Torre de Seluvis. Da poción (Cuidado con a quién se la das).
Liurnia de los Lagos,Academia,Lugar,Academia de Raya Lucaria,Entrada con llave.
Liurnia de los Lagos,Academia,Jefe,Lobo Rojo de Radagon,Salón de debate.
Liurnia de los Lagos,Academia,Talismán,Icono de Radagon,Piso superior del Salón de debate.
Liurnia de los Lagos,Academia,Objeto Clave,Llave de piedra refulgente (2ª),En los candelabros del techo (ruta tejados). Para Thops.
Liurnia de los Lagos,Academia,Jefe,"Rennala, Reina de la Luna Llena",Jefe final. Gran Runa de los Nonatos.
Liurnia de los Lagos,Liurnia,Lugar,Aldea de los albináuricos,"Suroeste, bajo la montaña."
Liurnia de los Lagos,Liurnia,Herramienta,Frasco de Perfume (1),"En un cuerpo en el pantano, justo debajo del puente de la aldea."
Liurnia de los Lagos,Liurnia,Objeto Clave,Medallón secreto del Árbol (der.),Albus (convertido en olla).
Liurnia de los Lagos,Liurnia,Jefe,Asesino de augurios,En la aldea.
Liurnia de los Lagos,Liurnia,Lugar,Despeñadero de las ruinas,Ruta alternativa a Altus (norte del lago).
Liurnia de los Lagos,Liurnia,Jefe,Dragón de magma Makar,Cima del despeñadero. Drop Espada de escamas de magma.
Liurnia de los Lagos,Liurnia,Lugar,Sala de estudio cariana,Este. Necesita Estatua invertida (Misión Ranni).
Liurnia de los Lagos,Liurnia,Lugar,Torre divina de Liurnia,Tras la sala de estudio invertida. Marca de la muerte (Misión Fia).
Liurnia de los Lagos,Liurnia,Lugar,Iglesia de los Bellum,Camino al elevador de Dectus.
Río Siofra y Ainsel (Subsuelo 1),Siofra,Lugar,Río Siofra,Entrada por el pozo en Bosque Brumoso.
Río Siofra y Ainsel (Subsuelo 1),Siofra,Puzzle,Pilares de fuego,Enciende 8 para luchar contra el Espíritu Ancestral.
Río Siofra y Ainsel (Subsuelo 1),Siofra,Jefe,Espíritu Ancestral,Hallowhorn Grounds.
Río Siofra y Ainsel (Subsuelo 1),Siofra,Jefe,Soldado dracónido,Zona superior (acceso por portal). Drop Alabarda de dragón.
Río Siofra y Ainsel (Subsuelo 1),Ainsel,Lugar,Río Ainsel,Entrada por pozo en Liurnia Este.
Río Siofra y Ainsel (Subsuelo 1),Ainsel,Equipo,Ala de Astel,Cofre en ruinas (ruta hormigas).
Río Siofra y Ainsel (Subsuelo 1),Ainsel,Jefe,Soldado dracónido de Nokstella,Jefe de zona. Drop Lanza de rayo helado.
Caelid y Montedrago,Caelid,Lugar,Iglesia de la putrefacción,Entrada a Caelid desde Necrolimbo.
Caelid y Montedrago,Caelid,NPC,Gowry,Cabaña al sur de Sellia. Pide aguja.
Caelid y Montedrago,Caelid,NPC,Millicent,Iglesia de la Plaga. Dale la aguja reparada.
Caelid y Montedrago,Caelid,Lugar,"Sellia, ciudad de la hechicería",Puzzle de encender torres.
Caelid y Montedrago,Caelid,Jefe,Comandante O'Neil,Pantano de Aeonia. Drop Aguja de oro inmaculado.
Caelid y Montedrago,Caelid,Equipo,Meteorito (Hechizo) y Bastón,Ruinas de la calle de los sabios (Pantano).
Caelid y Montedrago,Caelid,Lugar,Castillo de la Melena Roja,Sur de Caelid.
Caelid y Montedrago,Caelid,Jefe,"Radahn, Azote de las Estrellas",Festival de combate. Obligatorio para Nokron.
Caelid y Montedrago,Caelid,Lugar,Catacumbas de los caídos en guerra,En la arena de Radahn (norte).
Caelid y Montedrago,Caelid,Lugar,Torre Divina de Caelid,Escalada difícil.
Caelid y Montedrago,Caelid,Jefe,Apóstol sacrodermo,Sótano de la torre. Drop armadura y Espadón del Deicida.
Caelid y Montedrago,Montedrago,Jefe,Dragón antiguo Greyoll,Inmóvil cerca de Fuerte Faroth.
Caelid y Montedrago,Montedrago,Lugar,Fuerte Faroth,Detrás de Greyoll.
Caelid y Montedrago,Montedrago,Objeto Clave,Medallón de Dectus (dcha.),En Fuerte Faroth.
Caelid y Montedrago,Montedrago,Talismán,Marca ulcerada de Radagon,Fuerte Faroth.
Caelid y Montedrago,Montedrago,NPC,Gran Tarro,Coliseo al norte (baja por el pozo de Siofra para llegar).
Caelid y Montedrago,Montedrago,Talismán,Arsenal del Gran Tarro,Gana 3 duelos del Gran Tarro.
Caelid y Montedrago,Caelid,Equipo,Velo lunar (Moonveil),Túnel de Gael (Jefe Magma Wyrm).
Nokron y Profundidades (Subsuelo 2),Nokron,Lugar,"Nokron, Ciudad Eterna",Cráter en Necrolimbo (cerca de Fuerte Haight).
Nokron y Profundidades (Subsuelo 2),Nokron,Jefe,Lágrima mimética,Drop Lágrima de plata y acceso a la ceniza (más adelante).
Nokron y Profundidades (Subsuelo 2),Nokron,Objeto Clave,Hoja dactilocida,Tesoro de la Noche Sagrada (para Ranni).
Nokron y Profundidades (Subsuelo 2),Nokron,Ceniza,Ceniza de lágrima mimética,Cofre tras puerta de llave espada pétrea.
Nokron y Profundidades (Subsuelo 2),Nokron,Jefe,Gárgolas denodadas,Acueducto de Siofra.
Nokron y Profundidades (Subsuelo 2),Fondo Raíz,Lugar,Fondo de Raíz Profunda,Ataúd tras las gárgolas.
Nokron y Profundidades (Subsuelo 2),Fondo Raíz,NPC,Fia,Al final de la zona. Misión del Príncipe de la Muerte.
Nokron y Profundidades (Subsuelo 2),Fondo Raíz,Jefe,Dragón liche Fortissax,Sueño de Fia.
Nokron y Profundidades (Subsuelo 2),Ainsel,Lugar,Nokstella,Acceso por misión de Ranni (portal en Torre de Renna).
Nokron y Profundidades (Subsuelo 2),Ainsel,Objeto Clave,Ranni en miniatura,Habla con ella 3 veces en la gracia.
Nokron y Profundidades (Subsuelo 2),Ainsel,Jefe,Sombra funesta,Invasor (Blaidd rojo). Drop Llave del palacio desechada.
Nokron y Profundidades (Subsuelo 2),Lago Putr.,Lugar,Lago de la Putrefacción,Cruza corriendo.
Nokron y Profundidades (Subsuelo 2),Lago Putr.,Jefe,"Astel, Innato del Vacío",Gran Claustro (ataúd).
Nokron y Profundidades (Subsuelo 2),Liurnia,Lugar,Altar de luz de luna,Tras Astel.
Nokron y Profundidades (Subsuelo 2),Liurnia,Equipo,Espadón de la Luna Oscura,Catedral de Manus Celes (Ranni).
Meseta Altus y Monte Gelmir,Altus,Mapa,Mapa: Meseta Altus,Camino principal al norte del elevador.
Meseta Altus y Monte Gelmir,Altus,NPC,Millicent,Colina frente al Árbol Áureo. Dale prótesis.
Meseta Altus y Monte Gelmir,Altus,Objeto Clave,Prótesis de valquiria,Castillo Sombrío.
Meseta Altus y Monte Gelmir,Altus,Herramienta,Frasco de Perfume (4),"En un cuerpo en los tejados del castillo, cerca de los caballeros de la limpieza."
Meseta Altus y Monte Gelmir,Altus,Jefe,Elemer de la Zarza,Castillo Sombrío. Drop Espada de Eochaid.
Meseta Altus y Monte Gelmir,Altus,NPC,Corhyn y Máscara Dorada,Puente al norte (camino destruido).
Meseta Altus y Monte Gelmir,Altus,Lugar,Cruce de caminos de Altus,Al noroeste del cruce. Contiene dos frascos y el manual para fabricar perfumes.
Meseta Altus y Monte Gelmir,Altus,Herramienta,Ruinas del Perfumista (2 Frascos),Al noroeste del cruce. Contiene dos frascos y el manual para fabricar perfumes.
Meseta Altus y Monte Gelmir,Altus,Lugar,Aldea del molinar (Dominula),Norte. Jefe Apóstol Sacrodermo.
Meseta Altus y Monte Gelmir,Gelmir,Lugar,Monte Gelmir,Oeste de Altus.
Meseta Altus y Monte Gelmir,Gelmir,Hechizo,Cometa Azur,Hechicero primigenio Azur.
Meseta Altus y Monte Gelmir,Gelmir,Lugar,Mansión del Volcán,Únete a Tanith.
Meseta Altus y Monte Gelmir,Gelmir,Misión,Misión de la Mansión,Cartas de asesinato (3 objetivos).
Meseta Altus y Monte Gelmir,Gelmir,Jefe,"Rykard, Señor de la Blasfemia","Usa el ""Cazador de serpientes""."
Meseta Altus y Monte Gelmir,Gelmir,Equipo,Cameo del taker,Recompensa de Tanith.
"Leyndell, Capital Real",Leyndell,Jefe,Centinela agreste draconiano,Puerta este. Acceso a la capital.
"Leyndell, Capital Real",Leyndell,Lugar,Mesa Redonda (Real),Versión física en la capital.
"Leyndell, Capital Real",Leyndell,Objeto Clave,Maldición del semillero,Varios en la capital (para Zampaheces).
"Leyndell, Capital Real",Leyndell,Equipo,Rayo de Gransax,Lanza legendaria en la lanza gigante del dragón. PERDIBLE.
"Leyndell, Capital Real",Leyndell,Jefe,"Godfrey, Primer Señor (Sombra)",Santuario.
"Leyndell, Capital Real",Leyndell,Jefe,"Morgott, rey de los Augurios",Trono. Drop Medallón de Rold.
"Leyndell, Capital Real",Subsuelo,Lugar,Subsuelo de los marginados,Acceso por pozo en Leyndell.
"Leyndell, Capital Real",Subsuelo,Jefe,"Mohg, el Augurio",Catedral de los desamparados.
"Leyndell, Capital Real",Subsuelo,Lugar,Proscripción de la Llama Frenética,Tras Mohg (golpea el altar). Parkour infernal.
"Leyndell, Capital Real",Subsuelo,Final,Tres Dedos,Desnúdate para abrir la puerta. Bloquea otros finales.
Picos de los Gigantes,Picos,NPC,Shabriri,Posee el cuerpo de Yura.
Picos de los Gigantes,Picos,Lugar,Castillo de Sol,Norte.
Picos de los Gigantes,Picos,Jefe,Comandante Niall,Castillo de Sol. Drop Medallón secreto (izq.).
Picos de los Gigantes,Picos,Equipo,Ríos de Sangre,Iglesia del Reposo. Invasión de Okina.
Picos de los Gigantes,Picos,Jefe,Gigante de fuego,Forja de los Gigantes.
Picos de los Gigantes,Picos,Evento,Quema del Árbol,Habla con Melina en la forja. Viaje a Farum Azula.
Picos de los Gigantes,Sacroníveo,Lugar,Campoancho sacroníveo,Zona secreta (Medallón secreto).
Picos de los Gigantes,Sacroníveo,Lugar,"Ordina, ciudad litúrgica",Puzzle de velas para ir al Árbol Hierático.
Picos de los Gigantes,Sacroníveo,Portal,Portal a Mohgwyn,"Oeste, en el acantilado con sangre."
Picos de los Gigantes,Mohgwyn,Lugar,Palacio de Mohgwyn,Zona de farmeo de runas.
Picos de los Gigantes,Mohgwyn,Jefe,"Mohg, Señor de la Sangre",Requisito DLC.
Árbol Hierático de Miquella,Árbol,Jefe,"Loretta, centinela del Árbol",Plaza de la ciudad.
Árbol Hierático de Miquella,Árbol,Lugar,"Elphael, tutor del Árbol",Zona inferior.
Árbol Hierático de Miquella,Árbol,Misión,Millicent (Final),Cerca del canal de desagüe. Ayuda o invade.
Árbol Hierático de Miquella,Árbol,Talismán,Insignia de espada alada podrida,Ayuda a Millicent.
Árbol Hierático de Miquella,Árbol,Jefe,"Malenia, espada de Miquella",Fondo del árbol. Drop Runa de Malenia.
Árbol Hierático de Miquella,Árbol,Objeto Clave,Aguja de Miquella,Usa la aguja de oro en la flor tras matar a Malenia.
Farum Azula y Capital Ceniza,Farum,Jefe,Dúo sacrodermo,Templo del dragón.
Farum Azula y Capital Ceniza,Farum,Objeto Clave,Esfera de minero de piedra (4),Drop del dúo. Piedras al máximo.
Farum Azula y Capital Ceniza,Farum,NPC,Alexander,Desafío final. Drop Fragmento de Alexander.
Farum Azula y Capital Ceniza,Farum,Jefe,Señor Dragón Placidusax,Secreto. Túmbate en la plataforma flotante antes del puente.
Farum Azula y Capital Ceniza,Farum,Uso,Uso de Aguja de Miquella,En la arena de Placidusax para curar la Llama Frenética.
Farum Azula y Capital Ceniza,Farum,Jefe,"Maliketh, la Hoja Negra",Jefe final de zona.
Farum Azula y Capital Ceniza,Ceniza,Lugar,"Leyndell, capital de ceniza",Tras Maliketh.
Farum Azula y Capital Ceniza,Ceniza,Jefe,Sir Gideon Ofnir,Jefe.
Farum Azula y Capital Ceniza,Ceniza,Jefe,Godfrey / Hoarah Loux,Jefe.
Farum Azula y Capital Ceniza,Ceniza,Jefe,Radagon / Bestia del Círculo,FINAL DEL JUEGO.
